layer	kind	type	tensor_bytes	expert_bytes	n_experts	entries	shard_index	data_offset	shape	tensor	shard_path
36	gate	IQ3_XXS	2157969408	5619712	384	384	5	45857988224	7168,2048,384	blk.36.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
36	up	IQ2_S	1805647872	4702208	384	384	5	48042593920	7168,2048,384	blk.36.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
37	down	Q3_K	2422210560	6307840	384	384	6	8448	2048,7168,384	blk.37.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
37	gate	IQ3_XXS	2157969408	5619712	384	384	6	2437816576	7168,2048,384	blk.37.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
37	up	IQ2_S	1805647872	4702208	384	384	6	4622422272	7168,2048,384	blk.37.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
38	down	Q3_K	2422210560	6307840	384	384	6	6551148288	2048,7168,384	blk.38.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
38	gate	IQ3_XXS	2157969408	5619712	384	384	6	8988956416	7168,2048,384	blk.38.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
38	up	IQ2_S	1805647872	4702208	384	384	6	11173562112	7168,2048,384	blk.38.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
39	down	Q3_K	2422210560	6307840	384	384	6	13102288128	2048,7168,384	blk.39.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
39	gate	IQ3_XXS	2157969408	5619712	384	384	6	15540096256	7168,2048,384	blk.39.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
39	up	IQ2_S	1805647872	4702208	384	384	6	17724701952	7168,2048,384	blk.39.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
40	down	Q3_K	2422210560	6307840	384	384	6	19653427968	2048,7168,384	blk.40.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
40	gate	IQ3_XXS	2157969408	5619712	384	384	6	22091236096	7168,2048,384	blk.40.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
40	up	IQ2_S	1805647872	4702208	384	384	6	24275841792	7168,2048,384	blk.40.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
41	down	Q3_K	2422210560	6307840	384	384	6	26204567808	2048,7168,384	blk.41.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
41	gate	IQ3_XXS	2157969408	5619712	384	384	6	28642375936	7168,2048,384	blk.41.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
41	up	IQ2_S	1805647872	4702208	384	384	6	30826981632	7168,2048,384	blk.41.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
42	down	Q3_K	2422210560	6307840	384	384	6	32755707648	2048,7168,384	blk.42.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
42	gate	IQ3_XXS	2157969408	5619712	384	384	6	35193515776	7168,2048,384	blk.42.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
42	up	IQ2_S	1805647872	4702208	384	384	6	37378121472	7168,2048,384	blk.42.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
43	down	Q3_K	2422210560	6307840	384	384	6	39306847488	2048,7168,384	blk.43.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
43	gate	IQ3_XXS	2157969408	5619712	384	384	6	41744655616	7168,2048,384	blk.43.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
43	up	IQ2_S	1805647872	4702208	384	384	6	43929261312	7168,2048,384	blk.43.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
44	down	Q3_K	2422210560	6307840	384	384	6	45857987328	2048,7168,384	blk.44.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00007-of-00010.gguf
44	gate	IQ3_XXS	2157969408	5619712	384	384	7	9344	7168,2048,384	blk.44.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
44	up	IQ2_S	1805647872	4702208	384	384	7	2184615040	7168,2048,384	blk.44.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
45	down	Q3_K	2422210560	6307840	384	384	7	4113341056	2048,7168,384	blk.45.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
45	gate	IQ3_XXS	2157969408	5619712	384	384	7	6551149184	7168,2048,384	blk.45.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
45	up	IQ2_S	1805647872	4702208	384	384	7	8735754880	7168,2048,384	blk.45.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
46	down	Q3_K	2422210560	6307840	384	384	7	10664480896	2048,7168,384	blk.46.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
46	gate	IQ3_XXS	2157969408	5619712	384	384	7	13102289024	7168,2048,384	blk.46.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
46	up	IQ2_S	1805647872	4702208	384	384	7	15286894720	7168,2048,384	blk.46.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
47	down	Q3_K	2422210560	6307840	384	384	7	17215620736	2048,7168,384	blk.47.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
47	gate	IQ3_XXS	2157969408	5619712	384	384	7	19653428864	7168,2048,384	blk.47.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
47	up	IQ2_S	1805647872	4702208	384	384	7	21838034560	7168,2048,384	blk.47.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
48	down	Q3_K	2422210560	6307840	384	384	7	23766760576	2048,7168,384	blk.48.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
48	gate	IQ3_XXS	2157969408	5619712	384	384	7	26204568704	7168,2048,384	blk.48.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
48	up	IQ2_S	1805647872	4702208	384	384	7	28389174400	7168,2048,384	blk.48.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
49	down	Q3_K	2422210560	6307840	384	384	7	30317900416	2048,7168,384	blk.49.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
49	gate	IQ3_XXS	2157969408	5619712	384	384	7	32755708544	7168,2048,384	blk.49.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
49	up	IQ2_S	1805647872	4702208	384	384	7	34940314240	7168,2048,384	blk.49.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
50	down	Q3_K	2422210560	6307840	384	384	7	36869040256	2048,7168,384	blk.50.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
50	gate	IQ3_XXS	2157969408	5619712	384	384	7	39306848384	7168,2048,384	blk.50.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
50	up	IQ2_S	1805647872	4702208	384	384	7	41491454080	7168,2048,384	blk.50.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
51	down	Q3_K	2422210560	6307840	384	384	7	43420180096	2048,7168,384	blk.51.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
51	gate	IQ3_XXS	2157969408	5619712	384	384	7	45857988224	7168,2048,384	blk.51.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
51	up	IQ2_S	1805647872	4702208	384	384	7	48042593920	7168,2048,384	blk.51.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00008-of-00010.gguf
52	down	Q3_K	2422210560	6307840	384	384	8	8320	2048,7168,384	blk.52.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
52	gate	IQ3_XXS	2157969408	5619712	384	384	8	2437816448	7168,2048,384	blk.52.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
52	up	IQ2_S	1805647872	4702208	384	384	8	4622422144	7168,2048,384	blk.52.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
53	down	Q3_K	2422210560	6307840	384	384	8	6551148160	2048,7168,384	blk.53.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
53	gate	IQ3_XXS	2157969408	5619712	384	384	8	8988956288	7168,2048,384	blk.53.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
53	up	IQ2_S	1805647872	4702208	384	384	8	11173561984	7168,2048,384	blk.53.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
54	down	Q3_K	2422210560	6307840	384	384	8	13102288000	2048,7168,384	blk.54.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
54	gate	IQ3_XXS	2157969408	5619712	384	384	8	15540096128	7168,2048,384	blk.54.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
54	up	IQ2_S	1805647872	4702208	384	384	8	17724701824	7168,2048,384	blk.54.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
55	down	Q3_K	2422210560	6307840	384	384	8	19653427840	2048,7168,384	blk.55.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
55	gate	IQ3_XXS	2157969408	5619712	384	384	8	22091235968	7168,2048,384	blk.55.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
55	up	IQ2_S	1805647872	4702208	384	384	8	24275841664	7168,2048,384	blk.55.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
56	down	Q3_K	2422210560	6307840	384	384	8	26204567680	2048,7168,384	blk.56.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
56	gate	IQ3_XXS	2157969408	5619712	384	384	8	28642375808	7168,2048,384	blk.56.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
56	up	IQ3_XXS	2157969408	5619712	384	384	8	30826981504	7168,2048,384	blk.56.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
57	down	IQ4_XS	2994733056	7798784	384	384	8	33108029056	2048,7168,384	blk.57.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
57	gate	IQ3_XXS	2157969408	5619712	384	384	8	36118359680	7168,2048,384	blk.57.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
57	up	IQ3_XXS	2157969408	5619712	384	384	8	38302965376	7168,2048,384	blk.57.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
58	down	IQ4_XS	2994733056	7798784	384	384	8	40584012928	2048,7168,384	blk.58.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
58	gate	IQ3_XXS	2157969408	5619712	384	384	8	43594343552	7168,2048,384	blk.58.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
58	up	IQ3_XXS	2157969408	5619712	384	384	8	45778949248	7168,2048,384	blk.58.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00009-of-00010.gguf
59	down	Q3_K	2422210560	6307840	384	384	9	1824	2048,7168,384	blk.59.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00010-of-00010.gguf
59	gate	IQ3_XXS	2157969408	5619712	384	384	9	2437809952	7168,2048,384	blk.59.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00010-of-00010.gguf
59	up	IQ3_XXS	2157969408	5619712	384	384	9	4622415648	7168,2048,384	blk.59.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00010-of-00010.gguf
60	down	Q3_K	2422210560	6307840	384	384	9	6903463200	2048,7168,384	blk.60.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00010-of-00010.gguf
60	gate	IQ3_XXS	2157969408	5619712	384	384	9	9341271328	7168,2048,384	blk.60.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00010-of-00010.gguf
60	up	IQ3_XXS	2157969408	5619712	384	384	9	11525877024	7168,2048,384	blk.60.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00010-of-00010.gguf
